15:23:30.154 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.156 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.158 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:30.162 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:30.163 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.164 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.165 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.166 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.166 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.169 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:30.171 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.171 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.173 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.174 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.174 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.176 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.177 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.178 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.179 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.179 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.181 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.194 INFO    thonny: TIME/MODS 0.013 Sending message ProgramOutput 
15:23:30.196 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.199 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:30.200 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.201 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.202 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.204 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.205 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.206 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.207 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.207 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.209 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.214 INFO    thonny: TIME/MODS 0.005 Sending message ProgramOutput 
15:23:30.215 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.216 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.216 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.217 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
